,Municipio,variable,value
660,Algeciras,agosto_2010,2.07
661,Almería,agosto_2010,2.47
662,Cádiz,agosto_2010,3.38
663,Córdoba,agosto_2010,2.22
664,Dos Hermanas,agosto_2010,2.26
665,Granada,agosto_2010,3.06
666,Huelva,agosto_2010,2.34
667,Jaén,agosto_2010,3.28
668,Jerez de la Frontera,agosto_2010,3.61
669,Marbella,agosto_2010,3.48
670,Málaga,agosto_2010,2.66
671,Sevilla,agosto_2010,2.5
672,Algeciras,septiembre_2010,2.16
673,Almería,septiembre_2010,3.51
674,Cádiz,septiembre_2010,4.28
675,Córdoba,septiembre_2010,3.42
676,Dos Hermanas,septiembre_2010,3.57
677,Granada,septiembre_2010,4.87
678,Huelva,septiembre_2010,3.16
679,Jaén,septiembre_2010,4.13
680,Jerez de la Frontera,septiembre_2010,4.6
681,Marbella,septiembre_2010,3.3
682,Málaga,septiembre_2010,3.6
683,Sevilla,septiembre_2010,3.88
684,Algeciras,octubre_2010,2.25
685,Almería,octubre_2010,3.43
686,Cádiz,octubre_2010,3.99
687,Córdoba,octubre_2010,2.99
688,Dos Hermanas,octubre_2010,2.94
689,Granada,octubre_2010,4.74
690,Huelva,octubre_2010,2.82
691,Jaén,octubre_2010,3.69
692,Jerez de la Frontera,octubre_2010,4.08
693,Marbella,octubre_2010,2.89
694,Málaga,octubre_2010,3.39
695,Sevilla,octubre_2010,3.77
696,Algeciras,noviembre_2010,1.99
697,Almería,noviembre_2010,3.02
698,Cádiz,noviembre_2010,3.93
699,Córdoba,noviembre_2010,3.18
700,Dos Hermanas,noviembre_2010,2.35
701,Granada,noviembre_2010,4.05
702,Huelva,noviembre_2010,2.86
703,Jaén,noviembre_2010,6.64
704,Jerez de la Frontera,noviembre_2010,3.06
705,Marbella,noviembre_2010,2.88
706,Málaga,noviembre_2010,3.35
707,Sevilla,noviembre_2010,3.67
708,Algeciras,diciembre_2010,1.7
709,Almería,diciembre_2010,2.54
710,Cádiz,diciembre_2010,3.5
711,Córdoba,diciembre_2010,3.28
712,Dos Hermanas,diciembre_2010,2.03
713,Granada,diciembre_2010,3.98
714,Huelva,diciembre_2010,2.54
715,Jaén,diciembre_2010,8.07
716,Jerez de la Frontera,diciembre_2010,3.07
717,Marbella,diciembre_2010,2.28
718,Málaga,diciembre_2010,2.85
719,Sevilla,diciembre_2010,3.5
720,Algeciras,enero_2011,1.66
721,Almería,enero_2011,2.51
722,Cádiz,enero_2011,3.05
723,Córdoba,enero_2011,3.12
724,Dos Hermanas,enero_2011,2.23
725,Granada,enero_2011,3.65
726,Huelva,enero_2011,2.47
727,Jaén,enero_2011,6.1
728,Jerez de la Frontera,enero_2011,2.77
729,Marbella,enero_2011,2.04
730,Málaga,enero_2011,2.56
731,Sevilla,enero_2011,3.03
732,Algeciras,febrero_2011,1.48
733,Almería,febrero_2011,2.12
734,Cádiz,febrero_2011,2.79
735,Córdoba,febrero_2011,2.78
